Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,2021-08-28,2021,3
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,2020-11-11,2020,4
Dream11,Media,Content,Bengaluru,Elevation Capital,Pre-Series A,175000,2023-10-17,2023,4
Dream11,Media,Content,Bengaluru,Info Edge,Pre-Series A,175000,2023-10-17,2023,4
Dream11,Media,Content,Bengaluru,Matrix Partners India,Pre-Series A,175000,2023-10-17,2023,4
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01,2021,1
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,2022-05-07,2022,2
FinSense,FinTech,InsurTech,Pune,Elevation Capital,Series A,1903000,2020-07-29,2020,3
FinSense,FinTech,InsurTech,Pune,IFC,Series A,1903000,2020-07-29,2020,3
FinSense,FinTech,InsurTech,Pune,Zodius Capital,Series A,1903000,2020-07-29,2020,3
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,2022-06-14,2022,2
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,2022-10-25,2022,4
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,2023-08-24,2023,3
FinSense_162,Enterprise,Security,Delhi,LCatterton,Series C,111204000,2022-08-18,2022,3
FinSense_162,Enterprise,Security,Delhi,Omidyar Network,Series C,111204000,2022-08-18,2022,3
PhonePe,Logistics,Last Mile,Delhi,Accel,Series A,4267000,2024-01-29,2024,1
PhonePe,Logistics,Last Mile,Delhi,Falcon Edge,Series A,4267000,2024-01-29,2024,1
SmartTech,E-commerce,Quick Commerce,Gurugram,Accel,Pre-Series A,123000,2024-06-13,2024,2
SmartTech,E-commerce,Quick Commerce,Gurugram,Info Edge,Pre-Series A,123000,2024-06-13,2024,2
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,2023-03-23,2023,1
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,Blume Ventures,Pre-Series A,209000,2023-03-14,2023,1
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,Prosus Ventures,Pre-Series A,209000,2023-03-14,2023,1
ShareChat,E-commerce,Grocery,Noida,IFC,Series A,1657000,2022-11-05,2022,4
ShareChat,E-commerce,Grocery,Noida,Sequoia Capital India,Series A,1657000,2022-11-05,2022,4
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18,2020,2
Zomato,Retail,Fashion,Pune,Ribbit Capital,Seed,442000,2021-12-22,2021,4
Zomato,Retail,Fashion,Pune,SoftBank Vision Fund,Seed,442000,2021-12-22,2021,4
SmartMart,Consumer Electronics,Smart Home,Delhi,Bessemer Venture Partners,Series C,125287000,2020-05-09,2020,2
SmartMart,Consumer Electronics,Smart Home,Delhi,Elevation Capital,Series C,125287000,2020-05-09,2020,2
SmartMart,Consumer Electronics,Smart Home,Delhi,Info Edge,Series C,125287000,2020-05-09,2020,2
FarmFit,FinTech,WealthTech,Hyderabad,Mirae Asset,Series A,1046000,2024-07-27,2024,3
FarmFit,FinTech,WealthTech,Hyderabad,Sequoia Capital India,Series A,1046000,2024-07-27,2024,3
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,2024-06-25,2024,2
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,2022-10-15,2022,4
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,2024-08-11,2024,3
AgriSense,SaaS,HRTech,Hyderabad,Blume Ventures,Series A,1604000,2024-01-09,2024,1
AgriSense,SaaS,HRTech,Hyderabad,Info Edge,Series A,1604000,2024-01-09,2024,1
EduMart_176,Enterprise,Security,Ahmedabad,Peak XV,Debt,7325000,2021-07-16,2021,3
EduMart_176,Enterprise,Security,Ahmedabad,Tiger Global,Debt,7325000,2021-07-16,2021,3
CoreConnect,Retail,Fashion,Delhi,Info Edge,Bridge,208000,2020-10-19,2020,4
CoreConnect,Retail,Fashion,Delhi,Prosus Ventures,Bridge,208000,2020-10-19,2020,4
FreshSolutions_178,Retail,Fashion,Pune,Nexus Venture Partners,Pre-Series A,864000,2025-04-28,2025,2
FreshSolutions_178,Retail,Fashion,Pune,Sequoia Capital India,Pre-Series A,864000,2025-04-28,2025,2
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,2022-12-20,2022,4
QuantumSolutions,E-commerce,Quick Commerce,Delhi,Bessemer Venture Partners,Series A,2518000,2022-03-03,2022,1
QuantumSolutions,E-commerce,Quick Commerce,Delhi,Nexus Venture Partners,Series A,2518000,2022-03-03,2022,1
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,2020-10-04,2020,4
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,2023-01-31,2023,1
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,2022-11-07,2022,4
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18,2023,1
LogiSense,E-commerce,Quick Commerce,Hyderabad,Kalaari Capital,Pre-Series A,457000,2024-01-08,2024,1
LogiSense,E-commerce,Quick Commerce,Hyderabad,Mirae Asset,Pre-Series A,457000,2024-01-08,2024,1
Groww,HealthTech,Pharmacy,Mumbai,IFC,Series A,9144000,2023-10-24,2023,4
Groww,HealthTech,Pharmacy,Mumbai,SoftBank Vision Fund,Series A,9144000,2023-10-24,2023,4
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23,2020,2
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06,2021,2
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,2023-07-04,2023,3
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,2023-04-04,2023,2
BlueSpace,AgriTech,Supply Chain,Bengaluru,Bessemer Venture Partners,Seed,1369000,2025-04-26,2025,2
BlueSpace,AgriTech,Supply Chain,Bengaluru,Lightspeed India,Seed,1369000,2025-04-26,2025,2
BlueSpace,AgriTech,Supply Chain,Bengaluru,Matrix Partners India,Seed,1369000,2025-04-26,2025,2
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,2025-05-13,2025,2
CoreConnect,E-commerce,Quick Commerce,Delhi,Lightspeed India,Series A,5554000,2022-09-18,2022,3
CoreConnect,E-commerce,Quick Commerce,Delhi,Omidyar Network,Series A,5554000,2022-09-18,2022,3
HyperLabs,SaaS,HRTech,Chennai,A91 Partners,Seed,175000,2022-01-28,2022,1
HyperLabs,SaaS,HRTech,Chennai,SoftBank Vision Fund,Seed,175000,2022-01-28,2022,1
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,2020-07-17,2020,3
AeroHub,FoodTech,Cloud Kitchen,Delhi,Blume Ventures,Series C,142830000,2025-03-27,2025,1
AeroHub,FoodTech,Cloud Kitchen,Delhi,Kedaara Capital,Series C,142830000,2025-03-27,2025,1
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15,2022,4
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13,2020,2
CoreSpace,FinTech,Payments,Chennai,Kalaari Capital,Seed,888000,2021-06-25,2021,2
CoreSpace,FinTech,Payments,Chennai,Tiger Global,Seed,888000,2021-06-25,2021,2
CoreSpace,FinTech,Payments,Chennai,Y Combinator,Seed,888000,2021-06-25,2021,2
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14,2021,3
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,2025-06-19,2025,2
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,2022-04-02,2022,2
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,2022-11-21,2022,4
FoodLoop,AgriTech,Marketplace,Hyderabad,Falcon Edge,Series A,5167000,2022-11-04,2022,4
FoodLoop,AgriTech,Marketplace,Hyderabad,Kedaara Capital,Series A,5167000,2022-11-04,2022,4
Delhivery,Consumer Electronics,Audio,Pune,Bessemer Venture Partners,Seed,52000,2020-08-12,2020,3
Delhivery,Consumer Electronics,Audio,Pune,Omidyar Network,Seed,52000,2020-08-12,2020,3
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,2024-01-17,2024,1
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,2022-02-17,2022,1
HomeMart_208,Media,Social,Gurugram,Nexus Venture Partners,Pre-Seed,20000,2021-10-04,2021,4
HomeMart_208,Media,Social,Gurugram,Prosus Ventures,Pre-Seed,20000,2021-10-04,2021,4
Flipkart,Mobility,Micro Mobility,Kolkata,Lightspeed India,Growth,76432000,2024-02-15,2024,1
Flipkart,Mobility,Micro Mobility,Kolkata,Nexus Venture Partners,Growth,76432000,2024-02-15,2024,1
Flipkart,Mobility,Micro Mobility,Kolkata,Tiger Global,Growth,76432000,2024-02-15,2024,1
NeoSense,Consumer Electronics,Smart Home,Chennai,LCatterton,Seed,379000,2020-12-20,2020,4
NeoSense,Consumer Electronics,Smart Home,Chennai,SoftBank Vision Fund,Seed,379000,2020-12-20,2020,4
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,2021-01-28,2021,1
Delhivery,EdTech,UpSkilling,Hyderabad,A91 Partners,Series B,30480000,2023-11-14,2023,4
Delhivery,EdTech,UpSkilling,Hyderabad,Mirae Asset,Series B,30480000,2023-11-14,2023,4
SkillSolutions,AgriTech,Marketplace,Noida,Peak XV,Pre-Series A,168000,2025-06-30,2025,2
SkillSolutions,AgriTech,Marketplace,Noida,Zodius Capital,Pre-Series A,168000,2025-06-30,2025,2
GreenConnect,Logistics,Fleet Management,Mumbai,Lightspeed India,Seed,692000,2022-06-24,2022,2
GreenConnect,Logistics,Fleet Management,Mumbai,Matrix Partners India,Seed,692000,2022-06-24,2022,2
GreenConnect,Logistics,Fleet Management,Mumbai,Mirae Asset,Seed,692000,2022-06-24,2022,2
SkillFlow,Media,Content,Delhi,Matrix Partners India,Seed,120000,2024-02-26,2024,1
SkillFlow,Media,Content,Delhi,Tiger Global,Seed,120000,2024-02-26,2024,1
Zepto,RealEstate,PropTech,Bengaluru,Mirae Asset,Seed,166000,2021-11-07,2021,4
Zepto,RealEstate,PropTech,Bengaluru,Nexus Venture Partners,Seed,166000,2021-11-07,2021,4
Zepto,RealEstate,PropTech,Bengaluru,Prosus Ventures,Seed,166000,2021-11-07,2021,4
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,2021-08-11,2021,3
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,2024-01-20,2024,1
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,Blume Ventures,Debt,19590000,2022-03-24,2022,1
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,Ventures India,Debt,19590000,2022-03-24,2022,1
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,2020-08-07,2020,3
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,2020-08-18,2020,3
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,2024-06-07,2024,2
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,2022-11-21,2022,4
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,2021-05-23,2021,2
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,2023-03-19,2023,1
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,2022-08-11,2022,3
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,2025-04-10,2025,2
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,2023-05-25,2023,2
CoreSpace,Retail,Fashion,Gurugram,Accel,Series C,110486000,2023-10-25,2023,4
CoreSpace,Retail,Fashion,Gurugram,IFC,Series C,110486000,2023-10-25,2023,4
EduMart,SaaS,B2B SaaS,Ahmedabad,LCatterton,Seed,938000,2024-08-24,2024,3
EduMart,SaaS,B2B SaaS,Ahmedabad,Lightspeed India,Seed,938000,2024-08-24,2024,3
WorkPay,Enterprise,Automation,Kolkata,Accel,Seed,319000,2021-02-24,2021,1
WorkPay,Enterprise,Automation,Kolkata,Falcon Edge,Seed,319000,2021-02-24,2021,1
WorkPay,Enterprise,Automation,Kolkata,Omidyar Network,Seed,319000,2021-02-24,2021,1
NimbusMart,Mobility,EV,Kolkata,Prosus Ventures,Series A,4770000,2023-02-18,2023,1
NimbusMart,Mobility,EV,Kolkata,SoftBank Vision Fund,Series A,4770000,2023-02-18,2023,1
DataAnalytics,Enterprise,Analytics,Gurugram,SoftBank Vision Fund,Series A,3795000,2020-04-02,2020,2
DataAnalytics,Enterprise,Analytics,Gurugram,Tiger Global,Series A,3795000,2020-04-02,2020,2
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,2021-01-03,2021,1
QuantumDrive,FoodTech,Food Delivery,Chennai,IFC,Pre-Series A,528000,2023-10-30,2023,4
QuantumDrive,FoodTech,Food Delivery,Chennai,Nexus Venture Partners,Pre-Series A,528000,2023-10-30,2023,4
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,2025-06-27,2025,2
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,2022-02-15,2022,1
FoodSolutions,EdTech,Test Prep,Bengaluru,IFC,Series C,114859000,2022-05-08,2022,2
FoodSolutions,EdTech,Test Prep,Bengaluru,Ventures India,Series C,114859000,2022-05-08,2022,2
PhonePe,EdTech,K12,Mumbai,Kedaara Capital,Seed,96000,2020-03-09,2020,1
PhonePe,EdTech,K12,Mumbai,Omidyar Network,Seed,96000,2020-03-09,2020,1
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,2023-01-10,2023,1
NimbusMart,Logistics,Last Mile,Ahmedabad,IFC,Seed,1687000,2023-05-09,2023,2
NimbusMart,Logistics,Last Mile,Ahmedabad,Matrix Partners India,Seed,1687000,2023-05-09,2023,2
NimbusMart,Logistics,Last Mile,Ahmedabad,Zodius Capital,Seed,1687000,2023-05-09,2023,2
HomeAnalytics,Logistics,Last Mile,Noida,Info Edge,Bridge,1461000,2024-12-06,2024,4
HomeAnalytics,Logistics,Last Mile,Noida,LCatterton,Bridge,1461000,2024-12-06,2024,4
HomeAnalytics,Logistics,Last Mile,Noida,Ribbit Capital,Bridge,1461000,2024-12-06,2024,4
NimbusLabs_243,SaaS,MarTech,Noida,Nexus Venture Partners,Seed,196000,2022-05-02,2022,2
NimbusLabs_243,SaaS,MarTech,Noida,Y Combinator,Seed,196000,2022-05-02,2022,2
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,2025-02-16,2025,1
SkillRise,HealthTech,Health Analytics,Gurugram,Accel,Seed,1535000,2021-11-07,2021,4
SkillRise,HealthTech,Health Analytics,Gurugram,Info Edge,Seed,1535000,2021-11-07,2021,4
SkillRise,HealthTech,Health Analytics,Gurugram,Y Combinator,Seed,1535000,2021-11-07,2021,4
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,2024-11-24,2024,4
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01,2020,1
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,2023-12-12,2023,4
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,2023-08-21,2023,3
ShareChat,Mobility,EV,Kolkata,SoftBank Vision Fund,Seed,148000,2024-01-19,2024,1
ShareChat,Mobility,EV,Kolkata,Ventures India,Seed,148000,2024-01-19,2024,1
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27,2024,1
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,2024-09-02,2024,3
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,2024-02-09,2024,1
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,2024-09-14,2024,3
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,2023-07-15,2023,3
WorkPay_256,Mobility,EV,Pune,LCatterton,Seed,1580000,2023-07-30,2023,3
WorkPay_256,Mobility,EV,Pune,Peak XV,Seed,1580000,2023-07-30,2023,3
WorkPay_256,Mobility,EV,Pune,Prosus Ventures,Seed,1580000,2023-07-30,2023,3
PhonePe,FinTech,NeoBank,Noida,Falcon Edge,Pre-Series A,497000,2020-02-04,2020,1
PhonePe,FinTech,NeoBank,Noida,Kedaara Capital,Pre-Series A,497000,2020-02-04,2020,1
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,2025-02-06,2025,1
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,2022-12-14,2022,4
NextStack,E-commerce,D2C,Chennai,IFC,Series A,5288000,2021-05-13,2021,2
NextStack,E-commerce,D2C,Chennai,Lightspeed India,Series A,5288000,2021-05-13,2021,2
NextStack,E-commerce,D2C,Chennai,Prosus Ventures,Series A,5288000,2021-05-13,2021,2
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,2023-07-28,2023,3
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,2024-10-23,2024,4
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,2020-04-05,2020,2
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,2024-10-07,2024,4
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04,2021,3
UrbanDrive,Mobility,EV,Chennai,Falcon Edge,Series C,132064000,2020-10-13,2020,4
UrbanDrive,Mobility,EV,Chennai,Kedaara Capital,Series C,132064000,2020-10-13,2020,4
UrbanDrive,Mobility,EV,Chennai,Tiger Global,Series C,132064000,2020-10-13,2020,4
Udaan,E-commerce,Fashion,Gurugram,Peak XV,Series D,252031000,2021-11-28,2021,4
Udaan,E-commerce,Fashion,Gurugram,Ventures India,Series D,252031000,2021-11-28,2021,4
AutoMart,SaaS,B2B SaaS,Hyderabad,A91 Partners,Series C,52945000,2022-07-11,2022,3
AutoMart,SaaS,B2B SaaS,Hyderabad,Lightspeed India,Series C,52945000,2022-07-11,2022,3
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,2023-06-20,2023,2
Groww,E-commerce,D2C,Delhi,Blume Ventures,Pre-Series A,645000,2024-05-24,2024,2
Groww,E-commerce,D2C,Delhi,Kalaari Capital,Pre-Series A,645000,2024-05-24,2024,2
Groww,E-commerce,D2C,Delhi,Y Combinator,Pre-Series A,645000,2024-05-24,2024,2
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,2021-07-06,2021,3
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23,2020,1
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26,2020,1
WorkFit,Mobility,Ride Sharing,Ahmedabad,Blume Ventures,Series A,3994000,2023-11-04,2023,4
WorkFit,Mobility,Ride Sharing,Ahmedabad,Matrix Partners India,Series A,3994000,2023-11-04,2023,4
NextStack,E-commerce,Marketplace,Chennai,Bessemer Venture Partners,Seed,318000,2021-09-05,2021,3
NextStack,E-commerce,Marketplace,Chennai,Y Combinator,Seed,318000,2021-09-05,2021,3
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,2020-08-07,2020,3
AutoMart,AgriTech,Smart Farming,Pune,Nexus Venture Partners,Series A,5813000,2022-05-31,2022,2
AutoMart,AgriTech,Smart Farming,Pune,SoftBank Vision Fund,Series A,5813000,2022-05-31,2022,2
AutoMart,AgriTech,Smart Farming,Pune,Tiger Global,Series A,5813000,2022-05-31,2022,2
CloudPay,HealthTech,Health Analytics,Pune,A91 Partners,Seed,666000,2023-11-24,2023,4
CloudPay,HealthTech,Health Analytics,Pune,Matrix Partners India,Seed,666000,2023-11-24,2023,4
CloudPay,HealthTech,Health Analytics,Pune,Mirae Asset,Seed,666000,2023-11-24,2023,4
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,2023-02-28,2023,1
BlueTech,Mobility,Ride Sharing,Kolkata,Bessemer Venture Partners,Bridge,1333000,2021-03-05,2021,1
BlueTech,Mobility,Ride Sharing,Kolkata,Zodius Capital,Bridge,1333000,2021-03-05,2021,1
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,2021-09-12,2021,3
HyperLoop,Retail,Grocery,Mumbai,Falcon Edge,Series A,2765000,2023-05-09,2023,2
HyperLoop,Retail,Grocery,Mumbai,Omidyar Network,Series A,2765000,2023-05-09,2023,2
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,2025-02-15,2025,1
LogiMart,SaaS,DevTools,Ahmedabad,Ribbit Capital,Pre-Seed,76000,2023-08-14,2023,3
LogiMart,SaaS,DevTools,Ahmedabad,SoftBank Vision Fund,Pre-Seed,76000,2023-08-14,2023,3
LogiMart,SaaS,DevTools,Ahmedabad,Tiger Global,Pre-Seed,76000,2023-08-14,2023,3
Paytm,E-commerce,Quick Commerce,Mumbai,A91 Partners,Seed,57000,2022-11-11,2022,4
Paytm,E-commerce,Quick Commerce,Mumbai,Falcon Edge,Seed,57000,2022-11-11,2022,4
Paytm,E-commerce,Quick Commerce,Mumbai,Omidyar Network,Seed,57000,2022-11-11,2022,4
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global,Series B,18181000,2020-11-04,2020,4
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,2024-02-04,2024,1
DataHive,EdTech,Coding Bootcamp,Pune,Elevation Capital,Series A,2173000,2022-06-16,2022,2
DataHive,EdTech,Coding Bootcamp,Pune,Kedaara Capital,Series A,2173000,2022-06-16,2022,2
DataHive,EdTech,Coding Bootcamp,Pune,SoftBank Vision Fund,Series A,2173000,2022-06-16,2022,2
Porter,FinTech,WealthTech,Mumbai,Blume Ventures,Series B,25728000,2020-12-02,2020,4
Porter,FinTech,WealthTech,Mumbai,Matrix Partners India,Series B,25728000,2020-12-02,2020,4
DriveLoop,EdTech,Coding Bootcamp,Delhi,Kalaari Capital,Seed,56000,2023-09-08,2023,3
DriveLoop,EdTech,Coding Bootcamp,Delhi,Ventures India,Seed,56000,2023-09-08,2023,3
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,2021-02-25,2021,1
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,2021-10-29,2021,4
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03,2021,4
Porter,SaaS,HRTech,Kolkata,Elevation Capital,Series A,1411000,2024-07-24,2024,3
Porter,SaaS,HRTech,Kolkata,Kedaara Capital,Series A,1411000,2024-07-24,2024,3
Porter,SaaS,HRTech,Kolkata,Omidyar Network,Series A,1411000,2024-07-24,2024,3
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,2021-01-09,2021,1
UrbanDrive,HealthTech,Health Analytics,Chennai,Kedaara Capital,Seed,856000,2023-07-25,2023,3
UrbanDrive,HealthTech,Health Analytics,Chennai,Ribbit Capital,Seed,856000,2023-07-25,2023,3
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,2021-01-18,2021,1
Udaan,Enterprise,Security,Bengaluru,Falcon Edge,Series A,5402000,2021-02-03,2021,1
Udaan,Enterprise,Security,Bengaluru,Tiger Global,Series A,5402000,2021-02-03,2021,1
NimbusLabs,Consumer Electronics,Wearables,Kolkata,Sequoia Capital India,Series A,1260000,2020-06-18,2020,2
NimbusLabs,Consumer Electronics,Wearables,Kolkata,Ventures India,Series A,1260000,2020-06-18,2020,2
Cars24,FinTech,WealthTech,Gurugram,A91 Partners,Series A,1150000,2020-12-10,2020,4
Cars24,FinTech,WealthTech,Gurugram,Bessemer Venture Partners,Series A,1150000,2020-12-10,2020,4
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,2023-01-17,2023,1
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,2022-05-20,2022,2
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,2024-07-30,2024,3
Housejoy,Retail,E-Retail,Gurugram,Kedaara Capital,Series C,142883000,2023-04-19,2023,2
Housejoy,Retail,E-Retail,Gurugram,Ribbit Capital,Series C,142883000,2023-04-19,2023,2
Housejoy,Retail,E-Retail,Gurugram,Y Combinator,Series C,142883000,2023-04-19,2023,2
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,2024-07-07,2024,3
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,Prosus Ventures,Seed,336000,2021-07-01,2021,3
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,Tiger Global,Seed,336000,2021-07-01,2021,3
Wakefit,HealthTech,Health Analytics,Bengaluru,IFC,Debt,744000,2024-11-10,2024,4
Wakefit,HealthTech,Health Analytics,Bengaluru,Matrix Partners India,Debt,744000,2024-11-10,2024,4
Wakefit,HealthTech,Health Analytics,Bengaluru,Nexus Venture Partners,Debt,744000,2024-11-10,2024,4
AgriSense,Retail,Fashion,Chennai,Info Edge,Series A,8614000,2023-03-28,2023,1
AgriSense,Retail,Fashion,Chennai,Kalaari Capital,Series A,8614000,2023-03-28,2023,1
AgriSense,Retail,Fashion,Chennai,Matrix Partners India,Series A,8614000,2023-03-28,2023,1
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,2024-12-01,2024,4
Myntra,SaaS,B2B SaaS,Mumbai,Prosus Ventures,Series B,16887000,2022-07-27,2022,3
Myntra,SaaS,B2B SaaS,Mumbai,Tiger Global,Series B,16887000,2022-07-27,2022,3
Myntra,SaaS,B2B SaaS,Mumbai,Y Combinator,Series B,16887000,2022-07-27,2022,3
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,2024-08-23,2024,3
LogiSense,Consumer Electronics,Wearables,Bengaluru,Peak XV,Pre-Seed,21000,2023-07-06,2023,3
LogiSense,Consumer Electronics,Wearables,Bengaluru,Sequoia Capital India,Pre-Seed,21000,2023-07-06,2023,3
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05,2025,1
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,2021-05-27,2021,2
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,2024-03-26,2024,1
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,2020-06-08,2020,2
Ola,FinTech,Payments,Pune,Kedaara Capital,Series C,31977000,2024-10-27,2024,4
Ola,FinTech,Payments,Pune,Mirae Asset,Series C,31977000,2024-10-27,2024,4
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,2024-12-09,2024,4
HyperSpace,RealEstate,PropTech,Mumbai,Info Edge,Series A,1969000,2020-01-18,2020,1
HyperSpace,RealEstate,PropTech,Mumbai,Ribbit Capital,Series A,1969000,2020-01-18,2020,1
Meesho,RealEstate,Rental Tech,Delhi,Info Edge,Angel,26000,2023-06-15,2023,2
