Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter,Log_Amount,Stage_Group
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,68000,2025-06-19,2025,2,4.832508912706237,Early
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,1549000,2022-04-02,2022,2,6.190051417759206,Growth
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,11397000,2022-11-21,2022,4,7.056790548274383,Growth
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,5167000,2022-11-04,2022,4,6.713238461545662,Growth
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,52000,2020-08-12,2020,3,4.7160033436347994,Early
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,1316000,2024-01-17,2024,1,6.1192558892779365,Growth
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,120606000,2022-02-17,2022,1,8.081368913957313,Late
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,2021-10-04,2021,4,4.301029995663981,Early
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,2024-02-15,2024,1,7.883275223939279,Late
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,379000,2020-12-20,2020,4,5.578639209968072,Early
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,6512000,2021-01-28,2021,1,6.8137143918811445,Growth
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,30480000,2023-11-14,2023,4,7.484014962667563,Growth
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,2025-06-30,2025,2,5.225309281725863,Early
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,692000,2022-06-24,2022,2,5.8401060944567575,Early
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,120000,2024-02-26,2024,1,5.079181246047625,Early
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,166000,2021-11-07,2021,4,5.220108088040055,Early
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,150998000,2021-08-11,2021,3,8.17897119501028,Late
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,5808000,2024-01-20,2024,1,6.7640266076920375,Growth
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,2022-03-24,2022,1,7.292034435994736,Other
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,5935000,2020-08-07,2020,3,6.77342072329061,Growth
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,407000,2020-08-18,2020,3,5.60959440922522,Early
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,6483000,2024-06-07,2024,2,6.8117760216029035,Growth
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,54137000,2022-11-21,2022,4,7.733494185687449,Late
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,133000,2021-05-23,2021,2,5.123851640967086,Early
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,1936000,2023-03-19,2023,1,6.286905352972375,Growth
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,74232000,2022-08-11,2022,3,7.870591161714785,Growth
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,14870000,2025-04-10,2025,2,7.172310968521955,Growth
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,11198000,2023-05-25,2023,2,7.049140463158965,Growth
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,110486000,2023-10-25,2023,4,8.043307250799904,Late
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,938000,2024-08-24,2024,3,5.972202838379064,Early
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,319000,2021-02-24,2021,1,5.503790683057181,Early
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,4770000,2023-02-18,2023,1,6.678518379040114,Growth
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,3795000,2020-04-02,2020,2,6.579211780231499,Growth
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,103000,2021-01-03,2021,1,5.012837224705172,Early
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,2023-10-30,2023,4,5.722633922533812,Early
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,141000,2025-06-27,2025,2,5.14921911265538,Early
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,106000,2022-02-15,2022,1,5.02530586526477,Early
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,114859000,2022-05-08,2022,2,8.060165030851882,Late
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,96000,2020-03-09,2020,1,4.982271233039568,Early
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,12766000,2023-01-10,2023,1,7.106054840093787,Growth
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,1687000,2023-05-09,2023,2,6.227115082589125,Early
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,2024-12-06,2024,4,6.164650215934297,Other
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,196000,2022-05-02,2022,2,5.292256071356476,Early
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,20855000,2025-02-16,2025,1,7.31921019418185,Late
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,1535000,2021-11-07,2021,4,6.186108379813206,Early
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,3188000,2024-11-24,2024,4,6.503518312724075,Growth
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01,2020,1,6.247727832909723,Other
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,72324000,2023-12-12,2023,4,7.859282437515536,Growth
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,10074000,2023-08-21,2023,3,7.003201946521693,Growth
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,148000,2024-01-19,2024,1,5.1702617153949575,Early
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27,2024,1,8.140341458216755,Late
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,710000,2024-09-02,2024,3,5.8512583487190755,Early
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,2359000,2024-02-09,2024,1,6.3727279408855955,Growth
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,1582000,2024-09-14,2024,3,6.199206479161658,Growth
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,390000,2023-07-15,2023,3,5.5910646070264995,Early
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,1580000,2023-07-30,2023,3,6.198657086954422,Early
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,2020-02-04,2020,1,5.696356388733332,Early
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,93643000,2025-02-06,2025,1,7.971475318550596,Late
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,72000,2022-12-14,2022,4,4.857332496431268,Early
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,5288000,2021-05-13,2021,2,6.7232914464775835,Growth
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,14601000,2023-07-28,2023,3,7.164382600963169,Growth
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,1461000,2024-10-23,2024,4,6.164650215934297,Growth
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,4070000,2020-04-05,2020,2,6.60959440922522,Growth
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,1272000,2024-10-07,2024,4,6.104487111312395,Early
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,46000,2021-09-04,2021,3,4.662757831681574,Early
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global",Series C,132064000,2020-10-13,2020,4,8.120784447197321,Late
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,252031000,2021-11-28,2021,4,8.401453962610582,Late
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,52945000,2022-07-11,2022,3,7.723824952641037,Late
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,148000,2023-06-20,2023,2,5.1702617153949575,Early
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,2024-05-24,2024,2,5.8095597146352675,Early
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,646000,2021-07-06,2021,3,5.810232517995084,Early
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23,2020,1,5.866877814337498,Early
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26,2020,1,8.745660225706075,Late
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,3994000,2023-11-04,2023,4,6.601408060534684,Growth
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,318000,2021-09-05,2021,3,5.502427119984433,Early
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,950000,2020-08-07,2020,3,5.977723605288848,Early
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global",Series A,5813000,2022-05-31,2022,2,6.764400322956388,Growth
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,666000,2023-11-24,2023,4,5.823474229170301,Early
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,942000,2023-02-28,2023,1,5.974050902792877,Early
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,2021-03-05,2021,1,6.124830149413859,Other
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,174000,2021-09-12,2021,3,5.2405492482825995,Early
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,2765000,2023-05-09,2023,2,6.4416951356407175,Growth
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,1290000,2025-02-15,2025,1,6.110589710299249,Growth
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global",Pre-Seed,76000,2023-08-14,2023,3,4.880813592280791,Early
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,57000,2022-11-11,2022,4,4.7558748556724915,Early
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global,Series B,18181000,2020-11-04,2020,4,7.259617766814334,Growth
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,174427000,2024-02-04,2024,1,8.241613711350102,Late
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,2173000,2022-06-16,2022,2,6.337059726320525,Growth
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,25728000,2020-12-02,2020,4,7.410406027068357,Growth
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,56000,2023-09-08,2023,3,4.748188027006201,Early
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,5546000,2021-02-25,2021,1,6.743979865241843,Growth
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,1040000,2021-10-29,2021,4,6.017033339298781,Early
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03,2021,4,5.276461804173244,Other
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,1411000,2024-07-24,2024,3,6.149527013754348,Growth
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,343000,2021-01-09,2021,1,5.535294120042771,Early
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,856000,2023-07-25,2023,3,5.9324737646771535,Early
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,111000,2021-01-18,2021,1,5.045322978786658,Early
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global",Series A,5402000,2021-02-03,2021,1,6.732554579851432,Growth
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,1260000,2020-06-18,2020,2,6.1003705451175625,Growth
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,1150000,2020-12-10,2020,4,6.060697840353612,Growth
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,2023-01-17,2023,1,5.550228353055094,Early
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,2022-05-20,2022,2,6.635885685281273,Growth
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,2024-07-30,2024,3,5.720159303405957,Early
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,2023-04-19,2023,2,8.154980560173865,Late
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,2024-07-07,2024,3,8.448721774949721,Late
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global",Seed,336000,2021-07-01,2021,3,5.526339277389844,Early
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,2024-11-10,2024,4,5.871572935545879,Other
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,2023-03-28,2023,1,6.935204867426581,Growth
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,2024-12-01,2024,4,7.025100961046814,Growth
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,2022-07-27,2022,3,7.227552503379864,Growth
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,2024-08-23,2024,3,4.826074802700826,Early
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,2023-07-06,2023,3,4.3222192947339195,Early
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05,2025,1,7.598155557191961,Other
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,2021-05-27,2021,2,7.705590054756337,Growth
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,2024-03-26,2024,1,7.53701269914582,Growth
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,2020-06-08,2020,2,5.354108439147401,Early
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,2024-10-27,2024,4,7.504837716928653,Late
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,2024-12-09,2024,4,4.949390006644912,Early
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,2020-01-18,2020,1,6.294245716138118,Growth
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,2023-06-15,2023,2,4.414973347970818,Early
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29,2022,2,5.714329759745233,Early
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,2024-01-16,2024,1,6.776483255833681,Growth
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,2022-11-09,2022,4,6.329194415088451,Growth
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,2020-08-18,2020,3,7.123001813306024,Growth
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,2020-09-27,2020,3,4.662757831681574,Early
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,2025-05-08,2025,2,7.953000583379232,Late
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,2020-05-03,2020,2,4.913813852383717,Early
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,2023-01-03,2023,1,5.371067862271736,Early
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,2023-04-16,2023,2,5.096910013008056,Early
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,2025-03-08,2025,1,5.269512944217916,Early
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,2023-12-20,2023,4,5.913283901760418,Early
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,2024-08-11,2024,3,6.017033339298781,Growth
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,2021-07-11,2021,3,7.437544461797492,Late
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,2022-10-20,2022,4,5.045322978786658,Early
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,2022-11-08,2022,4,4.763427993562937,Early
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01,2021,1,4.812913356642856,Early
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,2020-06-08,2020,2,5.826074802700826,Early
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,2025-05-07,2025,2,6.279666944048455,Other
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,2020-01-17,2020,1,6.114944415712585,Growth
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global",Series A,3786000,2023-04-26,2023,2,6.578180609627778,Growth
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,2023-07-26,2023,3,6.556905269055448,Growth
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,2021-05-02,2021,2,4.977723605288848,Early
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,2022-11-30,2022,4,4.2552725051033065,Early
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,2023-03-08,2023,1,5.336459733848529,Early
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,2024-02-15,2024,1,7.440531270399891,Growth
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,2020-08-04,2020,3,5.716837723299524,Early
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,2022-08-06,2022,3,6.053462604925455,Growth
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07,2024,3,4.672097857935717,Early
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,2021-06-16,2021,2,7.452583700206957,Growth
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,2022-08-04,2022,3,5.505149978319906,Early
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,2022-03-31,2022,1,6.071145290451083,Early
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,2021-02-08,2021,1,6.777789187434868,Other
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,2022-06-06,2022,2,3.9030899869919438,Early
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,2022-07-02,2022,3,4.812913356642856,Early
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,2020-06-28,2020,2,6.7555699806288,Growth
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global",Series B,5381000,2024-06-30,2024,2,6.730862992046494,Growth
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,434000,2023-03-04,2023,1,5.63748972951251,Early
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,1604000,2022-08-24,2022,3,6.205204363948145,Early
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,24655000,2021-06-29,2021,2,7.391905006867156,Growth
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,2024-09-27,2024,3,4.204119982655925,Early
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,2023-12-05,2023,4,4.944482672150168,Early
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,271000,2022-10-01,2022,4,5.432969290874405,Early
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000,2020-01-02,2020,1,6.6416723732246865,Growth
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,1612000,2020-10-29,2020,4,6.207365037469072,Early
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,208000,2022-02-04,2022,1,5.318063334962762,Other
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,71839000,2022-06-13,2022,2,7.856360278315365,Growth
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000,2023-11-11,2023,4,6.149527013754348,Early
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,78480000,2024-04-27,2024,2,7.894758994371892,Late
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000,2020-06-08,2020,2,4.812913356642856,Early
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,2021-03-05,2021,1,4.3979400086720375,Early
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global",Pre-Series A,104000,2024-02-09,2024,1,5.017033339298781,Early
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,25829000,2024-06-03,2024,2,7.4121075922790505,Late
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,621000,2021-10-14,2021,4,5.79309160017658,Early
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global",Seed,65000,2020-06-02,2020,2,4.812913356642856,Early
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000,2023-08-31,2023,3,6.375114684692225,Growth
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,1129000,2022-04-18,2022,2,6.052693941924968,Other
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,1065000,2024-09-16,2024,3,6.027349607774757,Growth
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000,2020-07-17,2020,3,6.957894487212898,Growth
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,141000,2022-03-25,2022,1,5.14921911265538,Early
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,77000,2024-12-18,2024,4,4.886490725172482,Early
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,653000,2021-07-04,2021,3,5.814913181275074,Early
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000,2024-03-29,2024,1,5.629409599102719,Early
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,10764000,2021-04-27,2021,2,7.031973689091717,Growth
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global",Seed,753000,2025-04-28,2025,2,5.876794976200701,Early
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global",Pre-Seed,127000,2020-06-09,2020,2,5.103803720955957,Early
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,191000,2022-03-24,2022,1,5.281033367247727,Early
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,1617000,2022-05-09,2022,2,6.208710019906401,Growth
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,7635000,2020-07-25,2020,3,6.88280904139244,Growth
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,8890000,2022-08-26,2022,3,6.948901760970213,Growth
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,2024-12-26,2024,4,5.292256071356476,Early
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,2020-02-11,2020,1,4.230448921378274,Early
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global,Series D,117757000,2023-11-03,2023,4,8.070986732964537,Late
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,877000,2022-05-03,2022,2,5.94299959336604,Early
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000,2024-11-11,2024,4,7.70184418793154,Late
NextSense_395,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,1549000,2024-10-09,2024,4,6.190051417759206,Early
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,2020-04-13,2020,2,5.158362492095249,Early
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,16426000,2020-09-10,2020,3,7.2155318184912955,Growth
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,798000,2020-11-30,2020,4,5.90200289135073,Early
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000,2024-10-14,2024,4,5.056904851336473,Early
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,6655000,2022-11-17,2022,4,6.823148059810694,Growth
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,230417000,2021-04-03,2021,2,8.362514517866753,Late
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,320000,2022-02-10,2022,1,5.505149978319906,Early
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,671000,2020-07-28,2020,3,5.8267225201689925,Early
